year,water_depth_inch,resistivity_ohm,etape_ID,etape_length,good/bad,notes,person
2025,1,2914,ET47,18,good,,Kenzie
2025,2,2748,ET47,18,good,,Kenzie
2025,3,2607,ET47,18,good,,Kenzie
2025,4,2390,ET47,18,good,,Kenzie
2025,5,2232,ET47,18,good,,Kenzie
2025,6,2101,ET47,18,good,,Kenzie
2025,7,1947,ET47,18,good,,Kenzie
2025,8,1815,ET47,18,good,,Kenzie
2025,9,1683,ET47,18,good,,Kenzie
2025,10,1541,ET47,18,good,,Kenzie
2025,11,1393,ET47,18,good,,Kenzie
2025,12,1274,ET47,18,good,,Kenzie
2025,13,1118,ET47,18,good,,Kenzie
2025,14,947,ET47,18,good,,Kenzie
2025,15,840,ET47,18,good,,Kenzie
2025,16,722,ET47,18,good,,Kenzie
2025,17,551,ET47,18,good,,Kenzie
2025,18,460,ET47,18,good,,Kenzie
2025,1,2914,ET47,18,good,,Abby
2025,2,2713,ET47,18,good,,Abby
2025,3,2563,ET47,18,good,,Abby
2025,4,2378,ET47,18,good,,Abby
2025,5,2223,ET47,18,good,,Abby
2025,6,2064,ET47,18,good,,Abby
2025,7,1931,ET47,18,good,,Abby
2025,8,1783,ET47,18,good,,Abby
2025,9,1670,ET47,18,good,,Abby
2025,10,1521,ET47,18,good,,Abby
2025,11,1389,ET47,18,good,,Abby
2025,12,1270,ET47,18,good,,Abby
2025,13,1095,ET47,18,good,,Abby
2025,14,968,ET47,18,good,,Abby
2025,15,829,ET47,18,good,,Abby
2025,16,699,ET47,18,good,,Abby
2025,17,542,ET47,18,good,,Abby
2025,18,445,ET47,18,good,,Abby
2025,1,2917,ET47,18,good,,Naomi
2025,2,2737,ET47,18,good,,Naomi
2025,3,2591,ET47,18,good,,Naomi
2025,4,2390,ET47,18,good,,Naomi
2025,5,2234,ET47,18,good,,Naomi
2025,6,2101,ET47,18,good,,Naomi
2025,7,1935,ET47,18,good,,Naomi
2025,8,1813,ET47,18,good,,Naomi
2025,9,1676,ET47,18,good,,Naomi
2025,10,1541,ET47,18,good,,Naomi
2025,11,1390,ET47,18,good,,Naomi
2025,12,1274,ET47,18,good,,Naomi
2025,13,1112,ET47,18,good,,Naomi
2025,14,968,ET47,18,good,,Naomi
2025,15,843,ET47,18,good,,Naomi
2025,16,718,ET47,18,good,,Naomi
2025,17,540,ET47,18,good,,Naomi
2025,18,446,ET47,18,good,,Naomi
2025,1,2917,ET47,18,good,,Alex
2025,2,2711,ET47,18,good,,Alex
2025,3,2568,ET47,18,good,,Alex
2025,4,2390,ET47,18,good,,Alex
2025,5,2225,ET47,18,good,,Alex
2025,6,2086,ET47,18,good,,Alex
2025,7,1931,ET47,18,good,,Alex
2025,8,1789,ET47,18,good,,Alex
2025,9,1667,ET47,18,good,,Alex
2025,10,1523,ET47,18,good,,Alex
2025,11,1392,ET47,18,good,,Alex
2025,12,1265,ET47,18,good,,Alex
2025,13,1095,ET47,18,good,,Alex
2025,14,965,ET47,18,good,,Alex
2025,15,829,ET47,18,good,,Alex
2025,16,695,ET47,18,good,,Alex
2025,17,541,ET47,18,good,,Alex
2025,18,454,ET47,18,good,,Alex
